// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43F80
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
42075	9.472203	-1.144022	2.181426	0.004394	0.000230	0.006278	0.195247	0.155955	0.968275	-0.227287	0.967594	-0.110014	-0.954054	-0.198597	0.224366
42076	9.495491	-1.056196	2.180759	0.004663	-0.002402	0.006159	0.195234	0.155957	0.968277	-0.227298	0.967591	-0.110017	-0.954054	-0.198608	0.224355
42077	9.462158	-1.095182	2.161053	-0.001631	-0.001455	0.003217	0.195233	0.155933	0.968281	-0.227246	0.967604	-0.110005	-0.954067	-0.198561	0.224344
42078	9.490642	-1.035298	2.206812	0.008286	-0.003169	0.006797	0.195208	0.155941	0.968285	-0.227296	0.967593	-0.110006	-0.954060	-0.198613	0.224326
42079	9.495606	-1.098297	2.168858	0.001243	0.004978	0.009006	0.195255	0.155986	0.968268	-0.227282	0.967591	-0.110044	-0.954054	-0.198583	0.224380
42080	9.500427	-1.086112	2.227295	0.004603	-0.001705	0.001366	0.195258	0.155943	0.968275	-0.227287	0.967595	-0.110000	-0.954052	-0.198598	0.224374
42081	9.480939	-1.068052	2.163474	0.004633	-0.002053	0.003763	0.195250	0.155923	0.968280	-0.227295	0.967596	-0.109979	-0.954052	-0.198612	0.224363
42082	9.476294	-1.087353	2.178157	0.004394	0.000232	0.006279	0.195257	0.155932	0.968277	-0.227309	0.967592	-0.109984	-0.954047	-0.198623	0.224374
42083	9.480848	-1.068841	2.163482	0.005344	-0.000357	0.004612	0.195264	0.155924	0.968277	-0.227326	0.967589	-0.109970	-0.954041	-0.198641	0.224381
42084	9.504898	-1.068503	2.212540	0.003413	0.001169	0.005551	0.195281	0.155929	0.968273	-0.227327	0.967589	-0.109972	-0.954038	-0.198639	0.224398
