// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44109
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
42075	9.543372	-0.089274	-2.398618	0.001765	0.001671	-0.001195	0.242763	0.029850	0.969626	0.156511	-0.987637	-0.008781	0.957377	0.153889	-0.244433
42076	9.534538	-0.094383	-2.431341	-0.001281	0.002973	-0.002056	0.242752	0.029849	0.969629	0.156501	-0.987639	-0.008777	0.957381	0.153878	-0.244423
42077	9.519394	-0.069053	-2.413017	0.002257	0.000064	-0.002577	0.242769	0.029857	0.969625	0.156524	-0.987635	-0.008778	0.957373	0.153901	-0.244441
42078	9.510484	-0.091761	-2.388478	-0.004920	0.007453	-0.001632	0.242718	0.029846	0.969638	0.156478	-0.987643	-0.008769	0.957394	0.153855	-0.244388
42079	9.531670	-0.069707	-2.433489	0.000392	-0.000035	-0.001479	0.242737	0.029844	0.969633	0.156481	-0.987642	-0.008775	0.957388	0.153859	-0.244408
42080	9.534800	-0.093559	-2.430348	-0.001281	0.002973	-0.002056	0.242730	0.029843	0.969635	0.156471	-0.987644	-0.008772	0.957392	0.153849	-0.244400
42081	9.531784	-0.069307	-2.433054	0.002057	0.003208	-0.002771	0.242716	0.029849	0.969638	0.156494	-0.987640	-0.008770	0.957392	0.153871	-0.244388
42082	9.559026	-0.112941	-2.414995	-0.002754	0.002837	-0.002438	0.242706	0.029850	0.969640	0.156470	-0.987644	-0.008761	0.957398	0.153846	-0.244378
42083	9.528721	-0.062477	-2.378358	0.000192	0.003108	-0.001674	0.242696	0.029845	0.969643	0.156472	-0.987644	-0.008765	0.957400	0.153849	-0.244367
42084	9.535085	-0.092639	-2.429262	0.000685	0.001501	-0.003056	0.242700	0.029856	0.969642	0.156483	-0.987642	-0.008757	0.957398	0.153858	-0.244372
42085	9.510950	-0.090351	-2.386677	0.001272	0.003279	0.000187	0.242690	0.029833	0.969645	0.156490	-0.987640	-0.008781	0.957399	0.153871	-0.244359
42086	9.523104	-0.091421	-2.407631	-0.001573	0.001436	-0.000479	0.242699	0.029819	0.969643	0.156474	-0.987643	-0.008793	0.957399	0.153858	-0.244366
42087	9.540986	-0.063015	-2.398880	-0.000587	-0.001778	-0.003243	0.242733	0.029837	0.969634	0.156472	-0.987643	-0.008779	0.957391	0.153852	-0.244402
42088	9.526216	-0.114943	-2.404585	0.000584	0.003073	-0.003153	0.242719	0.029846	0.969637	0.156479	-0.987642	-0.008769	0.957393	0.153857	-0.244390
42089	9.553178	-0.063576	-2.419700	0.000192	0.003108	-0.001674	0.242709	0.029841	0.969640	0.156481	-0.987642	-0.008773	0.957395	0.153860	-0.244379
42090	9.520156	-0.066478	-2.410079	-0.001181	0.001401	-0.001958	0.242714	0.029840	0.969639	0.156471	-0.987644	-0.008772	0.957396	0.153850	-0.244384
42091	9.559482	-0.111163	-2.413276	-0.000889	0.002938	-0.003535	0.242702	0.029854	0.969641	0.156467	-0.987644	-0.008756	0.957400	0.153842	-0.244374
42092	9.535483	-0.091050	-2.427761	0.000192	0.003108	-0.001674	0.242692	0.029849	0.969644	0.156471	-0.987644	-0.008760	0.957401	0.153847	-0.244364
42093	9.499365	-0.069961	-2.421137	0.000292	0.001537	-0.001577	0.242697	0.029846	0.969643	0.156473	-0.987643	-0.008765	0.957400	0.153850	-0.244368
42094	9.544436	-0.085503	-2.394518	0.000393	-0.000035	-0.001479	0.242717	0.029843	0.969638	0.156478	-0.987643	-0.008772	0.957394	0.153856	-0.244388
42095	9.523515	-0.089428	-2.406078	-0.000989	0.004509	-0.003632	0.242690	0.029855	0.969644	0.156473	-0.987643	-0.008754	0.957402	0.153847	-0.244363
