// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44109
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	        Acc_Y	        Acc_Z	        Gyr_X	        Gyr_Y	        Gyr_Z	        Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
04397	        0.213388	0.076707	9.842191	0.002382	0.001278	-0.002226	0.999999	0.000672	-0.000859	-0.000672	1.000000	0.000160	0.000859	-0.000159	1.000000
04398	0.210195	0.121006	9.810362	-0.001354	0.000900	-0.001667	0.999999	0.000675	-0.000851	-0.000674	1.000000	0.000135	0.000851	-0.000134	1.000000
04399	0.222568	0.096585	9.831299	0.002604	-0.000117	-0.002940	0.999999	0.000669	-0.000833	-0.000669	1.000000	0.000147	0.000833	-0.000146	1.000000
04400	0.216002	0.107658	9.790961	-0.000099	0.003516	0.000129	0.999999	0.000690	-0.000851	-0.000690	1.000000	0.000134	0.000851	-0.000133	1.000000
04401	0.194384	0.114930	9.840668	-0.001011	0.001626	-0.002965	0.999999	0.000683	-0.000849	-0.000682	1.000000	0.000111	0.000849	-0.000111	1.000000
04402	0.243800	0.091801	9.841355	-0.001697	0.000174	-0.000369	0.999999	0.000698	-0.000833	-0.000698	1.000000	0.000083	0.000833	-0.000082	1.000000
04403	0.221878	0.096574	9.831315	0.002504	0.003400	-0.002811	0.999999	0.000697	-0.000850	-0.000697	1.000000	0.000098	0.000850	-0.000097	1.000000
04404	0.221705	0.096748	9.831317	0.000907	0.000057	-0.003309	0.999999	0.000684	-0.000833	-0.000684	1.000000	0.000096	0.000833	-0.000095	1.000000
04405	0.212264	0.077094	9.842212	0.001029	0.002179	-0.003893	0.999999	0.000656	-0.000843	-0.000656	1.000000	0.000096	0.000843	-0.000095	1.000000
04406	0.221351	0.097014	9.831322	0.002161	0.002674	-0.001513	0.999999	0.000662	-0.000853	-0.000662	1.000000	0.000106	0.000853	-0.000105	1.000000
