// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44112
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
16372	0.163225	0.051181	10.027814	0.000082	-0.000604	0.002389	1.000000	-0.000479	-0.000407	0.000479	1.000000	0.000081	0.000407	-0.000081	1.000000
16373	0.172019	0.053408	10.017369	-0.001651	-0.000102	0.003905	1.000000	-0.000462	-0.000407	0.000462	1.000000	0.000070	0.000407	-0.000070	1.000000
16374	0.160436	0.042242	10.023530	-0.001580	0.000637	0.003448	1.000000	-0.000453	-0.000423	0.000453	1.000000	0.000060	0.000423	-0.000060	1.000000
16375	0.165893	0.058542	10.032109	-0.000825	0.000852	0.004721	1.000000	-0.000410	-0.000444	0.000410	1.000000	0.000068	0.000444	-0.000068	1.000000
16376	0.171604	0.052429	10.017382	-0.000958	0.000566	0.003387	1.000000	-0.000410	-0.000461	0.000410	1.000000	0.000077	0.000461	-0.000077	1.000000
16377	0.172257	0.047672	10.025954	0.000102	-0.000755	0.002986	1.000000	-0.000418	-0.000443	0.000418	1.000000	0.000111	0.000443	-0.000111	1.000000
16378	0.154255	0.047164	10.038270	-0.002181	0.000558	0.004106	1.000000	-0.000400	-0.000456	0.000400	1.000000	0.000089	0.000456	-0.000089	1.000000
16379	0.175000	0.055373	10.030246	-0.000316	0.000343	0.003923	1.000000	-0.000378	-0.000465	0.000378	1.000000	0.000110	0.000465	-0.000110	1.000000
16380	0.168536	0.065531	10.036408	-0.002365	-0.000619	0.003827	1.000000	-0.000356	-0.000451	0.000356	1.000000	0.000079	0.000451	-0.000079	1.000000
16381	0.153536	0.050533	10.029706	-0.002222	0.000860	0.002912	1.000000	-0.000361	-0.000474	0.000361	1.000000	0.000053	0.000474	-0.000053	1.000000
16382	0.171373	0.050348	10.017396	-0.000978	0.000717	0.002790	1.000000	-0.000375	-0.000492	0.000376	1.000000	0.000061	0.000492	-0.000061	1.000000
16383	0.171476	0.050061	10.017396	-0.001194	-0.001502	0.004162	1.000000	-0.000346	-0.000455	0.000346	1.000000	0.000060	0.000455	-0.000060	1.000000
16384	0.171559	0.049773	10.017396	-0.000999	0.000868	0.002193	1.000000	-0.000364	-0.000481	0.000364	1.000000	0.000063	0.000481	-0.000063	1.000000
16385	0.161602	0.056187	10.010700	-0.002345	-0.000770	0.004424	1.000000	-0.000338	-0.000465	0.000338	1.000000	0.000036	0.000465	-0.000036	1.000000
