// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43F80
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mat[1][1]	Mat[2][1]	Mat[3][1]	Mat[1][2]	Mat[2][2]	Mat[3][2]	Mat[1][3]	Mat[2][3]	Mat[3][3]
54523	0.210341	0.032098	9.723237	-0.003333	-0.001374	0.007465	0.999999	-0.000396	-0.001348	0.000397	1.000000	0.000613	0.001347	-0.000613	0.999999
54524	0.188771	0.043864	9.699083	0.004731	-0.001583	0.008704	0.999999	-0.000377	-0.001351	0.000378	1.000000	0.000639	0.001351	-0.000640	0.999999
54525	0.180432	0.016599	9.717990	0.002785	-0.001298	0.008693	0.999999	-0.000358	-0.001355	0.000359	1.000000	0.000644	0.001355	-0.000644	0.999999
54526	0.212415	0.037446	9.699328	0.002576	-0.001045	0.006523	0.999999	-0.000362	-0.001364	0.000363	1.000000	0.000649	0.001363	-0.000650	0.999999
54527	0.165809	0.051705	9.698819	0.002508	-0.002231	0.007496	0.999999	-0.000353	-0.001362	0.000354	1.000000	0.000652	0.001361	-0.000652	0.999999
54528	0.205977	0.014999	9.694333	0.002508	-0.002231	0.007496	0.999999	-0.000347	-0.001358	0.000348	1.000000	0.000656	0.001358	-0.000657	0.999999
54529	0.189677	0.045137	9.699060	0.002231	-0.003164	0.006299	0.999999	-0.000355	-0.001344	0.000356	1.000000	0.000657	0.001344	-0.000658	0.999999
54530	0.211642	0.033538	9.723204	0.000562	-0.001945	0.007486	0.999999	-0.000350	-0.001344	0.000351	1.000000	0.000642	0.001343	-0.000643	0.999999
54531	0.186697	0.036094	9.746849	0.004592	-0.000145	0.005560	0.999999	-0.000363	-0.001364	0.000364	1.000000	0.000667	0.001363	-0.000668	0.999999
54532	0.166698	0.052760	9.698798	0.000630	-0.000759	0.006513	0.999999	-0.000367	-0.001375	0.000368	1.000000	0.000653	0.001375	-0.000654	0.999999
54533	0.211882	0.034158	9.723196	0.002577	-0.001045	0.006523	0.999999	-0.000373	-0.001382	0.000374	1.000000	0.000659	0.001382	-0.000659	0.999999
54534	0.166880	0.053050	9.698793	0.000631	-0.000759	0.006513	0.999999	-0.000378	-0.001394	0.000378	1.000000	0.000644	0.001394	-0.000645	0.999999
54535	0.237213	0.032100	9.699540	0.002231	-0.003164	0.006299	0.999999	-0.000384	-0.001381	0.000385	1.000000	0.000646	0.001381	-0.000647	0.999999
54536	0.183944	0.023461	9.694053	0.002442	-0.003417	0.008470	0.999999	-0.000368	-0.001366	0.000369	1.000000	0.000650	0.001366	-0.000650	0.999999
54537	0.196175	0.064807	9.727905	0.002789	-0.001298	0.008694	0.999999	-0.000350	-0.001370	0.000351	1.000000	0.000654	0.001369	-0.000655	0.999999
54538	0.186003	0.028629	9.670144	0.002300	-0.001978	0.005326	0.999999	-0.000365	-0.001369	0.000366	1.000000	0.000657	0.001369	-0.000658	0.999999
54539	0.196534	0.065254	9.727895	0.002300	-0.001978	0.005326	0.999999	-0.000382	-0.001366	0.000383	1.000000	0.000660	0.001365	-0.000660	0.999999
54540	0.184662	0.024276	9.694037	0.000632	-0.000759	0.006513	0.999999	-0.000387	-0.001377	0.000387	1.000000	0.000645	0.001377	-0.000646	0.999999
54541	0.213359	0.035586	9.723159	0.002511	-0.002231	0.007497	0.999999	-0.000387	-0.001373	0.000388	1.000000	0.000652	0.001373	-0.000653	0.999999
