// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B44109
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
55711	9.835545	0.092178	0.341278	0.001841	0.002481	-0.002233
55712	9.824695	0.113580	0.347755	-0.000725	0.004393	-0.005922
55713	9.824679	0.113983	0.348092	0.001841	0.002481	-0.002233
55714	9.824666	0.114302	0.348344	0.000742	0.002668	-0.004182
55715	9.824656	0.114633	0.348519	0.002208	0.000943	-0.002441
55716	9.805690	0.109229	0.334260	0.000369	0.000377	-0.001463
55717	9.816588	0.120611	0.315766	0.000007	0.005744	-0.003766
55718	9.813789	0.136259	0.355235	0.001836	-0.001348	0.000277
55719	9.808596	0.158555	0.270393	-0.001831	0.005177	-0.002788
55720	9.857413	0.181047	0.280683	0.001104	0.003642	-0.000562
55721	9.802910	0.157685	0.362290	0.001841	0.002481	-0.002233
55722	9.824649	0.148049	0.337670	0.000005	0.003829	-0.002511
55723	9.813724	0.137213	0.356679	-0.000730	0.000564	-0.003411
55724	9.824633	0.148484	0.337923	0.001469	0.000190	0.000485
55725	9.813707	0.137522	0.357005	0.000007	0.005744	-0.003766
55726	9.827337	0.101370	0.311869	0.002575	-0.000594	-0.002649
55727	9.838172	0.080642	0.305961	-0.001831	0.005177	-0.002788
55728	9.827314	0.101812	0.312452	0.001471	0.002104	-0.000770
55729	9.786587	0.106333	0.323347	-0.001094	0.004016	-0.004459
55730	9.813568	0.106696	0.371089	0.000002	0.001915	-0.001255
55731	9.813633	0.138880	0.358524	0.000000	0.000000	0.000000
55732	9.827277	0.102523	0.313403	-0.000363	0.005367	-0.002303
55733	9.835361	0.129423	0.334412	0.000007	0.005744	-0.003767
55734	9.835347	0.129576	0.334778	0.001101	0.001728	0.000693
55735	9.827235	0.103097	0.314504	-0.001097	0.002102	-0.003204
55736	9.805526	0.145271	0.327046	0.001104	0.003642	-0.000563
55737	9.805513	0.145329	0.327402	0.001103	0.003642	-0.000563
55738	9.835365	0.162291	0.323332	0.000374	0.004206	-0.003974
55739	9.813512	0.140282	0.361284	-0.000365	0.003453	-0.001048
55740	9.783700	0.155778	0.353341	0.000002	0.001915	-0.001256
55741	9.846116	0.109721	0.330643	0.002208	0.000944	-0.002441
55742	9.835322	0.163178	0.324211	0.001109	0.001131	-0.004389
55743	9.846168	0.142432	0.318173	0.003307	0.000757	-0.000492
55744	9.805432	0.146993	0.329078	-0.001092	0.005931	-0.005716
55745	9.816269	0.126319	0.323346	0.001471	0.002105	-0.000770
55746	9.816198	0.094382	0.336146	0.000740	0.000754	-0.002926
55747	9.802505	0.131110	0.381679	0.001841	0.002482	-0.002233
55748	9.827102	0.106005	0.317683	0.002208	0.000944	-0.002441
55749	9.816179	0.094917	0.336573	-0.000738	0.001161	0.001671
55750	9.837951	0.085188	0.311774	0.001110	0.001131	-0.004390
55751	9.837938	0.085540	0.312084	-0.001832	0.005177	-0.002790
55752	9.827066	0.106705	0.318566	0.001471	0.002105	-0.000770
55753	9.805279	0.116669	0.343672	0.000002	0.001915	-0.001256
55754	9.824274	0.154581	0.345564	0.001840	0.002482	-0.002233
55755	9.824263	0.154734	0.345787	0.001471	0.002105	-0.000770
55756	9.854056	0.139515	0.354229	0.001840	0.002482	-0.002233
55757	9.813373	0.176176	0.352533	0.000006	0.005744	-0.003768
55758	9.816205	0.160870	0.313499	0.001836	-0.001348	0.000278
55759	9.846005	0.145644	0.321757	-0.001096	0.002101	-0.003205
55760	9.824207	0.155690	0.346945	0.001103	0.003643	-0.000563
55761	9.824194	0.155854	0.347236	0.000372	0.002292	-0.002719
55762	9.783392	0.128261	0.370796	0.003311	0.004587	-0.003003
55763	9.808011	0.103267	0.307075	0.000374	0.004207	-0.003975
55764	9.845867	0.114893	0.336254	0.000006	0.005745	-0.003768
55765	9.815994	0.098366	0.340934	0.003675	-0.000780	-0.000699
55766	9.826859	0.077635	0.334833	0.001110	0.001131	-0.004390
55767	9.845784	0.083466	0.349452	-0.002573	0.004423	0.000136
55768	9.826832	0.078005	0.335540	0.001842	0.004397	-0.003489
55769	9.816003	0.131316	0.329380	0.001102	0.003643	-0.000563
55770	9.813072	0.114917	0.381603	0.000742	0.002669	-0.004182
55771	9.823987	0.126316	0.363045	0.000002	0.001915	-0.001256
55772	9.815971	0.132005	0.330052	0.002209	0.000945	-0.002440
55773	9.826945	0.175439	0.298740	0.000002	0.001915	-0.001256
55774	9.805082	0.153290	0.336568	-0.000366	0.003453	-0.001049
55775	9.826868	0.143535	0.312013	-0.000366	0.003453	-0.001049
55776	9.834911	0.170398	0.332853	0.000374	0.004207	-0.003975
55777	9.815907	0.132949	0.331573	0.001472	0.004021	-0.002026
55778	9.845754	0.149874	0.327435	0.000002	0.001915	-0.001256
