// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43FA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
24388	9.758883	0.058239	0.108203	-0.000273	0.003662	0.000726
24389	9.746888	0.075709	0.088698	0.000369	0.003696	-0.002320
24390	9.754431	0.084549	0.097274	0.001514	0.004250	0.001229
24391	9.753267	0.094157	0.125951	0.000531	0.004523	-0.000196
24392	9.762496	0.062377	0.103764	-0.000137	0.001831	0.000363
24393	9.757730	0.035739	0.089432	0.000457	0.003784	0.000268
24394	9.773353	0.022366	0.102617	-0.000154	0.003791	0.000141
24395	9.737027	0.054169	0.090838	0.000861	0.003560	-0.001607
24396	9.753513	0.062877	0.103184	-0.001330	0.003195	-0.000236
24397	9.739601	0.119892	0.090541	0.001170	0.005866	-0.000411
24398	9.766734	0.087621	0.076490	0.001604	0.003030	0.000988
24399	9.743137	0.071873	0.106139	-0.000246	0.005012	0.000382
24400	9.753135	0.010175	0.105296	-0.000080	0.004531	-0.000324
24401	9.751506	0.018305	0.086180	-0.000200	0.004402	0.000261
24402	9.757642	0.036048	0.098455	0.000130	0.003439	-0.001150
24403	9.749018	0.088961	0.097726	0.001141	0.004516	-0.000068
24404	9.770347	0.091755	0.074626	0.001261	0.004645	-0.000653
24405	9.747598	0.097945	0.103312	-0.000257	0.001702	0.000947
24406	9.752330	0.040365	0.090014	-0.000692	0.004538	-0.000452
24407	9.752319	0.040515	0.091059	0.001306	0.004035	-0.000773
24408	9.766525	0.036114	0.107905	0.000993	0.003038	0.000860
24409	9.739158	0.067436	0.099781	-0.000674	0.002578	-0.000230
24410	9.758431	0.058260	0.104823	0.000770	0.004782	-0.001365
24411	9.750343	0.080453	0.101204	-0.000766	0.003799	0.000012
24412	9.756273	0.097304	0.089559	0.001186	0.003906	-0.000188
24413	9.760668	0.071205	0.103200	-0.000349	0.002923	0.001189
24414	9.752936	0.061671	0.072519	0.000085	0.004050	-0.001029
24415	9.758733	0.026730	0.082555	-0.000395	0.003534	0.001309
24416	9.739627	0.036929	0.103320	0.000159	0.004789	-0.001493
24417	9.747148	0.045858	0.112006	0.000575	0.003914	-0.000316
24418	9.762883	0.084480	0.103672	0.000770	0.004782	-0.001365
24419	9.756203	0.097786	0.096436	-0.000081	0.004531	-0.000324
24420	9.745155	0.085868	0.122161	0.000882	0.006220	0.000880
24421	9.764791	0.044890	0.100854	-0.000738	0.005149	-0.000332
24422	9.744636	0.032588	0.098546	0.001306	0.004036	-0.000773
24423	9.737264	0.024808	0.115712	0.001843	0.003289	-0.000180
24424	9.761778	0.062385	0.087261	0.001426	0.004165	-0.001357
24425	9.742650	0.072683	0.108033	0.000409	0.004396	0.000389
24426	9.756119	0.098242	0.104104	-0.000646	0.003928	-0.000574
24427	9.751405	0.071770	0.090109	0.000529	0.004525	-0.000196
24428	9.756642	0.067620	0.103283	0.001750	0.004510	0.000062
24429	9.757180	0.036877	0.101271	-0.000110	0.003182	0.000019
24430	9.739307	0.037265	0.094236	0.001065	0.003778	0.000397
24431	9.748229	0.037054	0.099191	-0.000693	0.004539	-0.000453
24432	9.747672	0.067698	0.103050	-0.000351	0.002924	0.001188
24433	9.749941	0.080399	0.099428	0.000454	0.003785	0.000268
24434	9.746968	0.097396	0.083909	-0.000813	0.004410	0.000131
24435	9.740990	0.080764	0.097454	0.000251	0.003569	-0.001735
24436	9.751872	0.041034	0.095640	-0.001498	0.003678	0.000466
24437	9.748039	0.036326	0.080883	0.000038	0.004661	-0.000909
24438	9.755547	0.045016	0.089376	-0.000305	0.002313	0.001067
24439	9.755539	0.044880	0.090207	0.001750	0.004511	0.000062
24440	9.739402	0.088965	0.081920	-0.000082	0.004532	-0.000325
24441	9.738099	0.098698	0.110607	0.000408	0.004396	0.000389
24442	9.751143	0.070888	0.080584	-0.000036	0.003922	-0.000445
24443	9.752667	0.062865	0.101753	0.000575	0.003915	-0.000316
24444	9.748094	0.037330	0.111537	0.001473	0.003555	-0.001477
24445	9.760709	0.041169	0.108242	-0.000888	0.003671	0.000595
24446	9.757754	0.058123	0.092631	-0.000157	0.003793	0.000139
24447	9.751100	0.071400	0.085135	0.000862	0.003562	-0.001606
24448	9.748253	0.089478	0.093503	0.000528	0.004526	-0.000196
24449	9.754885	0.076360	0.102984	0.000407	0.004397	0.000389
24450	9.748789	0.058686	0.092568	-0.000721	0.003190	-0.000111
24451	9.756940	0.037454	0.122029	0.000453	0.003786	0.000268
24452	9.756831	0.036776	0.099091	0.001427	0.004166	-0.001356
24453	9.752465	0.062814	0.087362	-0.000982	0.004893	0.000835
24454	9.743626	0.063553	0.108332	0.000822	0.003521	0.001567
24455	9.749610	0.080273	0.096451	0.000713	0.002083	-0.000678
24456	9.736884	0.075777	0.077732	0.000999	0.006351	0.000296
24457	9.747300	0.067392	0.103224	-0.000814	0.004411	0.000130
24458	9.753842	0.053433	0.088794	-0.000204	0.004404	0.000259
24459	9.751547	0.040521	0.094079	0.000546	0.002565	0.000027
24460	9.747830	0.036538	0.102977	0.000453	0.003786	0.000268
24461	9.770232	0.062049	0.103254	0.000188	0.006142	-0.001838
24462	9.734054	0.094536	0.115407	-0.000400	0.003536	0.001308
24463	9.751813	0.093049	0.100480	0.000970	0.005001	0.000639
24464	9.740596	0.080340	0.101790	-0.000018	0.001961	-0.000223
24465	9.758983	0.049205	0.107581	0.001138	0.004519	-0.000066
24466	9.756619	0.035504	0.089198	-0.000815	0.004412	0.000129
24467	9.756669	0.036301	0.114107	-0.000768	0.003801	0.000009
24468	9.750897	0.071297	0.105984	0.000649	0.004656	-0.000780
24469	9.758321	0.079246	0.090759	-0.002111	0.003686	0.000333
24470	9.758315	0.079114	0.091582	0.000377	0.003047	0.000732
24471	9.745724	0.075979	0.120438	-0.001622	0.003550	0.001048
