// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43F80
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
29090	0.070257	-0.063670	9.704119	0.005005	-0.004439	0.008713
29091	0.061721	-0.062185	9.726917	0.002856	0.001616	0.005030
29092	0.091482	-0.072183	9.712570	-0.000775	-0.002166	0.006536
29093	0.061730	-0.085692	9.701888	0.004527	0.000127	0.008680
29094	0.066879	-0.032255	9.675110	0.000015	-0.000086	0.006710
29095	0.049375	-0.077619	9.670644	-0.000382	-0.001111	0.005505
29096	0.070761	-0.038866	9.729151	0.004130	-0.000899	0.007475
29097	0.049735	-0.053181	9.695676	0.005801	-0.002389	0.011125
29098	0.079752	-0.039249	9.706355	-0.000376	-0.001139	0.007742
29099	0.058642	-0.053960	9.672879	0.002068	-0.000464	0.004856
29100	0.097205	-0.041211	9.660762	0.002074	-0.000492	0.007093
29101	0.062441	-0.060428	9.726923	0.000017	-0.000085	0.006711
29102	0.071201	-0.061370	9.704127	0.003740	-0.001954	0.008507
29103	0.050322	-0.052011	9.695679	0.003735	-0.001925	0.006270
29104	0.029206	-0.066717	9.662206	-0.002034	0.000294	0.008566
29105	0.050462	-0.075580	9.670655	0.005009	-0.004441	0.008715
29106	0.071786	-0.084367	9.679103	-0.000374	-0.001139	0.007743
29107	0.071996	-0.060501	9.704127	0.002076	-0.000492	0.007093
29108	0.093149	-0.069332	9.712575	0.001678	-0.001518	0.005888
29109	0.093152	-0.092965	9.687552	0.001685	-0.001546	0.008125
29110	0.063767	-0.058898	9.726924	0.001287	-0.002572	0.006920
29111	0.060278	-0.052023	9.672880	0.001287	-0.002572	0.006920
29112	0.051652	-0.074326	9.670658	0.006187	-0.001280	0.005621
29113	0.073111	-0.059110	9.704127	0.002947	-0.004005	0.006097
29114	0.064596	-0.057819	9.726925	0.000426	0.000913	0.010155
29115	0.052174	-0.049818	9.695681	0.002072	-0.000464	0.004857
29116	0.073549	-0.034784	9.729146	0.003346	-0.002980	0.007303
29117	0.052483	-0.049399	9.695681	0.000021	-0.000084	0.006712
29118	0.043969	-0.048102	9.718480	0.003347	-0.002980	0.007303
29119	0.061431	-0.050218	9.672882	0.000022	-0.000084	0.006712
29120	0.052917	-0.048920	9.695681	0.003340	-0.002952	0.005066
29121	0.032017	-0.039417	9.687236	0.006596	-0.000284	0.009065
29122	0.074188	-0.057171	9.704130	-0.000369	-0.001137	0.007745
29123	0.044485	-0.070758	9.693468	0.001290	-0.002571	0.006922
29124	0.074406	-0.080691	9.679115	0.003740	-0.001927	0.006272
29125	0.074568	-0.080434	9.679116	0.001690	-0.001546	0.008127
29126	0.053660	-0.071244	9.670670	0.001682	-0.001518	0.005890
29127	0.045129	-0.070037	9.693470	-0.000368	-0.001137	0.007745
29128	0.053977	-0.071043	9.670670	0.003341	-0.002953	0.005067
29129	0.057789	-0.101142	9.699705	0.005800	-0.002336	0.006655
29130	0.066889	-0.078270	9.701917	-0.001150	-0.003243	0.009810
29131	0.055112	-0.022660	9.720693	0.003742	-0.001927	0.006273
29132	0.058644	-0.076738	9.724717	0.001684	-0.001518	0.005890
29133	0.055234	-0.046042	9.695682	0.001693	-0.001546	0.008128
29134	0.072701	-0.048093	9.650081	0.003752	-0.001955	0.008511
29135	0.034529	-0.036698	9.687239	-0.002824	-0.001752	0.006158
29136	0.047152	-0.044563	9.718482	0.003343	-0.002953	0.005067
29137	0.085650	-0.055446	9.681324	0.006604	-0.000286	0.009066
29138	0.077085	-0.053891	9.704126	0.001685	-0.001518	0.005891
29139	0.056134	-0.044665	9.695684	0.002086	-0.000492	0.007096
29140	0.077324	-0.053555	9.704126	0.001303	-0.002598	0.009162
29141	0.035174	-0.059100	9.662235	0.002087	-0.000492	0.007097
29142	0.068706	-0.075863	9.701923	0.001686	-0.001518	0.005891
29143	0.047788	-0.066749	9.693480	-0.000353	-0.001163	0.009985
29144	0.030393	-0.087945	9.714081	0.006196	-0.001285	0.005623
29145	0.069195	-0.075086	9.701926	0.002953	-0.004006	0.006101
29146	0.057044	-0.067075	9.670681	-0.000362	-0.001135	0.007748
29147	0.078450	-0.052165	9.704125	0.003756	-0.001956	0.008512
29148	0.061102	-0.073375	9.724728	0.001688	-0.001518	0.005892
29149	0.048850	-0.065325	9.693485	0.001698	-0.001545	0.008130
29150	0.061410	-0.072955	9.724730	0.003747	-0.001928	0.006274
29151	0.036693	-0.057093	9.662242	-0.002017	0.000302	0.008571
29152	0.061607	-0.072815	9.724729	0.003345	-0.002954	0.005069
29153	0.058443	-0.041884	9.695682	0.005024	-0.004445	0.008723
29154	0.079647	-0.050694	9.704123	0.000445	0.000917	0.010159
29155	0.088363	-0.051794	9.681319	0.001287	-0.002543	0.004687
29156	0.050209	-0.040105	9.718486	0.004140	-0.000876	0.005242
29157	0.058792	-0.041047	9.695684	0.000827	0.001997	0.006888
29158	0.041212	-0.062262	9.716295	0.004151	-0.000903	0.007481
29159	0.067336	-0.065352	9.647887	0.005428	-0.003420	0.009930
29160	0.050200	-0.062824	9.693494	-0.002037	0.000357	0.004095
29161	0.062639	-0.094431	9.699743	0.004243	-0.006550	0.010791
29162	0.054396	-0.069266	9.747541	-0.000839	0.003461	0.005473
29163	0.083887	-0.079358	9.733181	0.004556	0.000122	0.008687
29164	0.050425	-0.062045	9.693498	0.002486	0.000560	0.006066
29165	0.050280	-0.085586	9.668507	0.003359	-0.002982	0.007309
29166	0.050652	-0.061485	9.693501	0.002498	0.000533	0.008305
29167	0.071706	-0.070473	9.701942	-0.000344	-0.001160	0.009989
29168	0.042234	-0.060050	9.716305	0.003348	-0.002955	0.005071
29169	0.051125	-0.060803	9.693502	0.005811	-0.002342	0.006659
29170	0.042283	-0.083131	9.691319	0.000428	0.000972	0.005684
29171	0.068973	-0.038952	9.672883	0.002162	-0.006085	0.005933
29172	0.064240	-0.068111	9.724746	0.001302	-0.002570	0.006928
29173	0.061001	-0.037469	9.695685	0.001302	-0.002570	0.006928
29174	0.043673	-0.058652	9.716307	0.003753	-0.001930	0.006277
29175	0.082378	-0.045945	9.704124	0.004157	-0.000905	0.007482
29176	0.069829	-0.061817	9.647893	-0.002817	-0.001745	0.006163
29177	0.052739	-0.059369	9.693503	0.003767	-0.001957	0.008516
29178	0.053024	-0.059047	9.693503	0.002959	-0.004008	0.006106
29179	0.065601	-0.066582	9.724748	0.004563	0.000121	0.008688
