// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 00B43FA9
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.3.5
//  Hardware Version: 1.1.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z
29090	-0.026136	-0.052511	9.873284	0.003841	0.002975	0.001007
29091	-0.016606	-0.057999	9.914030	0.000286	0.001991	0.000933
29092	-0.006602	-0.041408	9.899234	0.002172	0.003770	0.002158
29093	-0.006968	-0.041348	9.899234	-0.000960	0.003612	0.000131
29094	-0.019131	-0.018741	9.875957	0.000504	0.004566	0.003308
29095	-0.029846	-0.035155	9.890752	0.000572	0.003983	0.001866
29096	-0.030231	-0.035019	9.890751	0.002172	0.003770	0.002158
29097	-0.022139	-0.001509	9.893426	-0.000068	0.000583	0.001443
29098	-0.030171	-0.012734	9.835207	0.000504	0.004566	0.003308
29099	0.000654	-0.046592	9.939983	0.002596	0.004595	0.000206
29100	0.000833	-0.024296	9.884440	0.000218	0.002575	0.002375
29101	-0.009859	-0.040705	9.899234	0.000927	0.005391	0.001356
29102	-0.033737	0.004689	9.852672	0.001818	0.002363	0.002668
29103	-0.022343	-0.017904	9.875952	-0.001096	0.004779	0.003016
29104	-0.040673	-0.045441	9.832527	0.004663	0.000530	0.003762
29105	-0.009178	-0.057099	9.881768	-0.000673	0.005603	0.001064
29106	-0.011562	-0.040101	9.899235	0.001818	0.002363	0.002668
29107	-0.009788	-0.056938	9.881768	0.000286	0.001991	0.000933
29108	0.001725	-0.079542	9.905053	0.000218	0.002575	0.002376
29109	-0.032394	-0.050786	9.873275	-0.001027	0.004195	0.001574
29110	-0.012845	-0.040020	9.899234	0.000859	0.005974	0.002799
29111	-0.033320	-0.050739	9.873272	0.000218	0.002575	0.002376
29112	-0.013723	-0.039812	9.899233	0.002883	0.006586	0.001140
29113	-0.036259	-0.033470	9.890737	0.000642	0.003399	0.000424
29114	-0.014466	-0.039668	9.899233	-0.001245	0.001620	-0.000802
29115	-0.046570	-0.027771	9.849980	0.002036	0.004938	0.005044
29116	-0.004854	-0.023055	9.884442	0.000218	0.002575	0.002376
29117	-0.007102	-0.006092	9.901907	0.000218	0.002575	0.002376
29118	-0.015746	-0.039455	9.899232	0.000573	0.003983	0.001866
29119	-0.017553	-0.000307	9.861150	0.000573	0.003983	0.001866
29120	-0.015962	-0.017271	9.843684	-0.001027	0.004196	0.001573
29121	-0.016394	-0.017296	9.843684	0.000505	0.004567	0.003309
29122	0.004712	-0.045502	9.907733	0.001818	0.002363	0.002669
29123	-0.017681	-0.039190	9.899229	0.000997	0.004807	-0.000086
29124	0.002502	-0.006119	9.869652	0.002105	0.004354	0.003602
29125	-0.038599	-0.049753	9.873258	-0.001027	0.004196	0.001573
29126	-0.016918	-0.055889	9.881764	0.001749	0.002946	0.004111
29127	0.002718	-0.044908	9.907737	0.002529	0.005178	0.001650
29128	-0.029308	-0.032948	9.858468	-0.000562	0.000343	0.004837
29129	-0.017912	-0.055798	9.881763	-0.003871	0.006029	0.000478
29130	0.001819	-0.045067	9.907736	0.003131	0.000158	0.002029
29131	-0.002351	-0.010992	9.942664	0.000643	0.003399	0.000424
29132	0.001316	-0.044841	9.907737	0.000149	0.003159	0.003818
29133	-0.021061	-0.038549	9.899225	0.002174	0.003770	0.002160
29134	-0.033161	-0.015859	9.875925	-0.001026	0.004196	0.001573
29135	-0.033566	-0.015778	9.875924	0.002667	0.004011	-0.001235
29136	-0.034544	-0.037781	9.931471	0.000149	0.003159	0.003818
29137	0.009708	-0.028019	9.892954	-0.000670	0.005604	0.001064
29138	-0.010718	-0.038729	9.866976	0.001818	0.002363	0.002669
29139	-0.025322	-0.021092	9.916684	0.002243	0.003187	0.000717
29140	-0.021718	-0.054925	9.881760	-0.001095	0.004780	0.003016
29141	-0.002035	-0.044278	9.907740	-0.001313	0.002205	0.000640
29142	-0.048400	-0.015010	9.908161	0.000574	0.003983	0.001867
29143	-0.010420	-0.055437	9.849513	0.002174	0.003770	0.002160
29144	-0.023099	-0.054829	9.881758	0.000149	0.003159	0.003819
29145	0.006939	-0.027572	9.892958	0.000643	0.003400	0.000424
29146	-0.013482	-0.038280	9.866974	0.000505	0.004567	0.003309
29147	-0.014486	-0.060383	9.922523	0.000218	0.002575	0.002376
29148	-0.026500	-0.037709	9.899216	0.000574	0.003983	0.001867
29149	-0.026866	-0.037649	9.899215	0.000643	0.003400	0.000424
29150	-0.036914	-0.031901	9.858446	0.000575	0.003983	0.001867
29151	-0.015114	-0.038162	9.866972	-0.002163	0.000557	0.004543
29152	-0.029726	-0.020776	9.916672	0.001000	0.004807	-0.000085
29153	0.006320	-0.044364	9.875500	-0.000207	0.001752	0.004328
29154	-0.015959	-0.038157	9.866971	0.000644	0.003400	0.000424
29155	-0.018286	-0.021171	9.884430	0.000149	0.003159	0.003819
29156	-0.028916	-0.037602	9.899209	0.000218	0.002576	0.002376
29157	-0.020898	-0.004166	9.901889	0.000575	0.003983	0.001867
29158	-0.028891	-0.015384	9.843658	0.000218	0.002576	0.002376
29159	0.004460	-0.044326	9.875501	-0.002625	0.004410	0.001279
29160	-0.017827	-0.038195	9.866967	0.001462	0.000955	0.003179
29161	0.001975	-0.027333	9.892961	0.000644	0.003400	0.000424
29162	-0.030870	-0.037700	9.899203	-0.002832	0.006162	0.005607
29163	-0.019058	-0.038288	9.866965	0.001001	0.004807	-0.000085
29164	0.002528	-0.044400	9.875501	0.000575	0.003983	0.001867
29165	-0.030199	-0.054622	9.881740	0.000149	0.003160	0.003819
29166	-0.020159	-0.038056	9.866963	0.002244	0.003186	0.000719
29167	-0.008909	-0.060457	9.890279	0.002532	0.005178	0.001652
29168	-0.024997	-0.003791	9.901879	0.000149	0.003160	0.003819
29169	-0.055550	-0.030988	9.890655	-0.000069	0.000584	0.001443
29170	-0.011139	-0.021430	9.852187	-0.003867	0.006031	0.000475
29171	-0.033627	-0.015345	9.843643	0.001680	0.003530	0.005556
29172	-0.022174	-0.037903	9.866960	-0.000069	0.000584	0.001443
29173	0.009235	-0.049767	9.916279	0.000507	0.004567	0.003310
29174	-0.024779	-0.020818	9.884417	0.001818	0.002362	0.002671
29175	-0.047088	-0.014682	9.875871	-0.003050	0.003587	0.003230
29176	-0.021285	-0.054852	9.849499	0.001461	0.000954	0.003180
29177	-0.015150	-0.004407	9.869642	0.000645	0.003400	0.000425
29178	-0.012442	-0.060406	9.890276	0.000048	0.008420	0.000046
29179	-0.017033	-0.026499	9.925190	0.000150	0.003160	0.003819
29180	-0.003073	-0.043898	9.875503	0.000933	0.005391	0.001359
29181	-0.013924	-0.060191	9.890275	0.002107	0.004354	0.003605
29182	-0.003987	-0.043540	9.875505	0.002107	0.004354	0.003605
29183	-0.025093	-0.076467	9.905045	-0.002980	0.003003	0.001787
29184	-0.004738	-0.043681	9.875504	0.001003	0.004807	-0.000084
29185	-0.047825	-0.070066	9.896490	0.005018	0.001935	0.003261
29186	-0.017798	-0.042759	9.907731	-0.002692	0.004995	0.002721
29187	-0.007830	-0.026340	9.892961	0.002245	0.003186	0.000720
29188	-0.008175	-0.026122	9.892961	0.002176	0.003770	0.002162
29189	-0.008588	-0.025989	9.892961	0.000507	0.004568	0.003310
29190	0.009660	0.023913	9.880878	0.000934	0.005391	0.001359
29191	-0.045144	0.020113	9.878525	0.003845	0.002972	0.001015
29192	-0.035177	0.036685	9.863755	-0.001162	0.005366	0.004458
29193	0.008476	0.024471	9.880877	0.005018	0.001935	0.003262
29194	-0.024142	0.014417	9.887083	-0.001381	0.002790	0.002081
29195	-0.000262	-0.008807	9.878192	0.000000	-0.000000	0.000000
29196	-0.011681	-0.047324	9.948514	0.000934	0.005392	0.001359
29197	-0.013663	-0.109391	9.837916	0.000150	0.003160	0.003819
29198	-0.035854	-0.103182	9.829351	-0.000069	0.000584	0.001443
29199	-0.034636	-0.142184	9.867452	0.001600	-0.000214	0.000295
29200	-0.009212	-0.103132	9.969162	0.000150	0.003160	0.003819
29201	0.013241	-0.087174	9.922175	0.000646	0.003400	0.000425
29202	0.003190	-0.081486	9.881389	-0.000665	0.005605	0.001064
29203	0.003500	-0.059367	9.825836	0.000577	0.003984	0.001868
29204	-0.000823	-0.025521	9.860740	-0.001808	0.001967	0.004033
29205	-0.003921	-0.030753	9.933745	0.000577	0.003984	0.001868
29206	-0.016010	-0.008115	9.910409	-0.000664	0.005606	0.001064
29207	-0.048110	0.003879	9.861048	0.002604	0.004593	0.000212
29208	-0.027041	0.058787	9.775964	-0.004360	0.005794	0.003867
29209	-0.028881	0.014536	9.887070	0.004301	-0.000881	0.004281
29210	-0.007748	-0.013753	9.951196	-0.003407	0.002181	0.003737
29211	0.022340	0.013206	9.962459	-0.000953	0.003614	0.000130
29212	0.004705	0.007632	9.863428	0.000866	0.005976	0.002802
29213	-0.017715	0.013897	9.854852	0.000219	0.002576	0.002377
29214	-0.016833	-0.025141	9.892952	0.000578	0.003984	0.001868
29215	-0.039931	-0.040931	9.939927	0.001888	0.001778	0.001230
29216	-0.027820	-0.041356	9.907714	0.000011	0.004329	0.006705
29217	-0.033750	-0.069539	9.832018	0.000647	0.003400	0.000425
29218	-0.034055	-0.069575	9.832017	-0.001380	0.002790	0.002081
29219	-0.002797	-0.081466	9.881389	0.001680	0.003531	0.005558
29220	0.003559	-0.092215	9.995187	0.000578	0.003984	0.001868
29221	0.007995	-0.103947	9.904733	0.000508	0.004568	0.003311
29222	-0.021909	-0.108956	9.837906	0.000220	0.002576	0.002377
29223	-0.036835	-0.030114	9.793911	0.003129	0.000156	0.002035
29224	-0.040688	-0.057237	9.922469	0.000150	0.003161	0.003820
29225	-0.023247	-0.029736	9.965951	-0.004000	0.007203	0.003358
29226	-0.022854	-0.007615	9.910396	0.003986	0.001802	-0.001868
29227	0.014044	-0.008956	9.813771	0.000867	0.005976	0.002803
29228	-0.002774	0.025518	9.880878	-0.000139	0.001169	0.002886
29229	-0.015468	0.025989	9.913085	-0.001021	0.004198	0.001572
29230	-0.017882	0.043002	9.930534	0.002178	0.003770	0.002165
29231	-0.036304	0.015541	9.887044	0.002467	0.005762	0.003099
29232	-0.031897	0.003819	9.796590	-0.001021	0.004199	0.001572
29233	-0.021366	-0.040942	9.875493	0.001101	-0.000453	0.003691
29234	0.007951	-0.035819	9.942333	0.000509	0.004569	0.003311
29235	0.001230	-0.086042	9.922194	0.001819	0.002362	0.002673
29236	-0.019044	-0.096578	9.896154	0.002178	0.003770	0.002165
29237	-0.024857	-0.124604	9.820461	0.001819	0.002362	0.002673
29238	-0.019666	-0.096261	9.896155	0.000579	0.003984	0.001868
29239	-0.030510	-0.112526	9.910912	0.002607	0.004593	0.000213
29240	-0.030808	-0.112483	9.910912	-0.001739	0.001384	0.002589
29241	-0.023792	-0.040084	9.875491	0.000649	0.003400	0.000426
29242	-0.011634	-0.040497	9.843289	0.001819	0.002362	0.002674
29243	-0.008363	0.004873	9.936429	0.001889	0.001778	0.001231
29244	0.001804	0.021317	9.921673	-0.001449	0.003376	0.003524
29245	-0.030899	0.011061	9.927828	0.000220	0.002577	0.002377
29246	-0.037851	0.021943	9.814022	0.000579	0.003984	0.001869
29247	-0.040293	0.038956	9.831465	0.000510	0.004569	0.003312
29248	-0.019597	0.010442	9.895624	-0.004079	0.003459	-0.001907
29249	-0.030312	-0.006092	9.910377	0.001819	0.002362	0.002674
29250	-0.008586	-0.012298	9.918981	-0.001379	0.002791	0.002081
29251	-0.014451	-0.040491	9.843286	0.002039	0.004939	0.005051
29252	0.007068	-0.046749	9.851891	-0.002619	0.004414	0.001275
29253	-0.048574	-0.072940	9.904985	0.000220	0.002577	0.002377
29254	-0.015372	-0.101781	9.936950	0.000580	0.003984	0.001869
29255	-0.012934	-0.096659	9.863947	-0.001229	0.005953	0.005901
29256	-0.036506	-0.051307	9.817227	0.002179	0.003769	0.002166
29257	-0.015659	-0.079548	9.881393	-0.000070	0.000585	0.001443
29258	-0.008414	-0.068311	9.939644	-0.000520	0.004438	-0.001822
29259	-0.020265	-0.045695	9.916282	-0.000209	0.001754	0.004329
29260	-0.010073	-0.029278	9.901532	0.000150	0.003161	0.003820
29261	-0.017916	-0.040507	9.843280	0.000580	0.003984	0.001869
29262	-0.044297	-0.000317	9.869555	0.000150	0.003161	0.003820
29263	-0.035091	-0.006150	9.910361	-0.002978	0.003007	0.001784
29264	-0.034546	0.015866	9.854804	0.001010	0.004807	-0.000082
29265	-0.002483	0.026187	9.848672	0.001819	0.002362	0.002675
